Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
51,51,2 guests · Studio · 1 bed · 1 bath,$219 ,4.98 ·,190 reviews,https://www.airbnb.com/rooms/20725275?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
52,52,2 guests · Studio · 1 bed · 1 bath,$125 ,4.91 ·,798 reviews,https://www.airbnb.com/rooms/20425288?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
53,53,2 guests · 1 bedroom · 2 beds · 1 bath,$125 ,5.0 ·,111 reviews,https://www.airbnb.com/rooms/20267642?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
54,54,2 guests · 1 bed · 1 bath,$96 ,5.0 ·,21 reviews,https://www.airbnb.com/rooms/33784389?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
55,55,4 guests · Studio · 2 beds · 1 bath,$185 ,4.90 ·,31 reviews,https://www.airbnb.com/rooms/566729567209427445?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
56,56,5 guests · 2 bedrooms · 2 beds · 1 bath,$135 ,4.91 ·,659 reviews,https://www.airbnb.com/rooms/18624923?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
57,57,,$154 ,4.60 ·,10 reviews,https://www.airbnb.com/rooms/51879254?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
58,58,2 guests · 1 bed · 1 bath,$77 ,4.96 ·,179 reviews,https://www.airbnb.com/rooms/46174805?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
59,59,2 guests · 1 bedroom · 1 bed · Half-bath,$71 ,4.88 ·,42 reviews,https://www.airbnb.com/rooms/53601348?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
60,60,2 guests · Studio · 1 bed · 1 bath,$219 ,4.98 ·,190 reviews,https://www.airbnb.com/rooms/20725275?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
61,61,2 guests · Studio · 1 bed · 1 bath,$125 ,4.91 ·,798 reviews,https://www.airbnb.com/rooms/20425288?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
62,62,2 guests · 1 bedroom · 2 beds · 1 bath,$125 ,5.0 ·,111 reviews,https://www.airbnb.com/rooms/20267642?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
63,63,2 guests · 1 bedroom · 1 bed · 1 bath,$85 ,4.97 ·,182 reviews,https://www.airbnb.com/rooms/50900083?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
